143,6,35,ACTIVA,1,LOTE 1B,0,4.56278356,-72.77795279,2062186.8809,5024620.71502,
144,6,36,ACTIVA,1,LOTE 1B,0,4.56284682,-72.77802574,2062193.8686,5024612.62450,
145,6,37,ACTIVA,1,LOTE 1B,0,4.56289782,-72.77809804,2062199.5011,5024604.60597,
146,6,38,ACTIVA,1,LOTE 1B,0,4.56295535,-72.77816241,2062205.8557,5024597.46621,
147,6,39,ACTIVA,1,LOTE 1B,0,4.56301608,-72.77824133,2062212.5635,5024588.71440,
148,6,40,ACTIVA,1,LOTE 1B,0,4.56307062,-72.77830702,2062218.5871,5024581.42872,
149,6,41,ACTIVA,1,LOTE 1B,0,4.56312309,-72.77837642,2062224.3823,5024573.73083,
150,6,42,ACTIVA,1,LOTE 1B,0,4.56318217,-72.77845038,2062230.9078,5024565.52880,
151,6,43,ERRADICADA,0,LOTE 1B,0,4.56323794,-72.77852557,2062237.0680,5024557.18945,
152,6,44,ACTIVA,1,LOTE 1B,0,4.56329124,-72.77858878,2062242.9547,5024550.17868,
153,6,45,ACTIVA,1,LOTE 1B,0,4.56334825,-72.77865365,2062249.2522,5024542.98455,
154,7,1,ACTIVA,1,LOTE 1B,0,4.56091955,-72.77547244,2061981.0051,5024895.80398,
155,7,2,ACTIVA,1,LOTE 1B,0,4.56097460,-72.77554253,2061987.0859,5024888.02966,
156,7,3,ACTIVA,1,LOTE 1B,0,4.56102983,-72.77560847,2061993.1855,5024880.71608,
157,7,4,ACTIVA,1,LOTE 1B,0,4.56108670,-72.77568745,2061999.4675,5024871.95764,
158,7,5,ACTIVA,1,LOTE 1B,0,4.56114123,-72.77575749,2062005.4901,5024864.18959,
159,7,6,ACTIVA,1,LOTE 1B,0,4.56119529,-72.77582518,2062011.4608,5024856.68217,
160,7,7,ACTIVA,1,LOTE 1B,0,4.56126016,-72.77590509,2062018.6257,5024847.81920,
161,7,8,ACTIVA,1,LOTE 1B,0,4.56130905,-72.77596723,2062024.0253,5024840.92765,
162,7,9,ACTIVA,1,LOTE 1B,0,4.56136340,-72.77603406,2062030.0285,5024833.51470,
163,7,10,ERRADICADA,0,LOTE 1B,0,4.56141481,-72.77611412,2062035.7067,5024824.63591,
164,7,11,ACTIVA,1,LOTE 1B,0,4.56147945,-72.77618390,2062042.8460,5024816.89684,
165,7,12,ACTIVA,1,LOTE 1B,0,4.56153160,-72.77624780,2062048.6059,5024809.80973,
